,location,total_sqft,bath,price,bhk,encoder_loc
0,other,500.0,3,100.0,3,116
1,Kaval Byrasandra,460.0,1,22.0,2,61
2,Hennur Road,276.0,3,23.0,2,42
3,Kumaraswami Layout,600.0,3,85.0,5,68
4,other,1200.0,5,170.0,5,116
5,Giri Nagar,880.0,3,140.0,3,37
6,other,1200.0,5,180.0,5,116
7,Sultan Palaya,550.0,1,62.0,2,99
8,other,1150.0,4,260.0,4,116
9,Basavangudi,1125.0,4,180.0,4,20
10,Kenchenahalli,500.0,3,65.0,5,62
11,other,1200.0,5,190.0,5,116
12,Banjara Layout,600.0,3,58.0,3,18
13,8th Phase JP Nagar,660.0,4,90.0,4,4
14,Margondanahalli,940.0,4,150.0,5,74
15,other,1200.0,5,100.0,5,116
16,other,1210.0,4,160.0,5,116
17,other,1000.0,4,160.0,5,116
18,HBR Layout,675.0,3,59.0,4,39
19,other,460.0,1,15.0,2,116
20,other,900.0,3,80.0,5,116
21,Kammanahalli,1080.0,3,155.0,4,58
22,Marathahalli,700.0,4,72.0,4,73
23,Kothannur,600.0,4,95.0,3,66
24,other,600.0,3,65.0,4,116
25,other,915.0,4,54.9,4,116
26,Yeshwanthpur,850.0,4,90.0,5,115
27,other,600.0,5,60.0,4,116
28,Electronic City,550.0,1,16.0,2,34
29,Marathahalli,1350.0,4,135.0,5,73
30,Kengeri Satellite Town,850.0,3,95.0,3,64
31,other,750.0,2,75.0,3,116
32,Sector 7 HSR Layout,900.0,4,90.0,5,93
33,Bannerghatta,810.0,4,50.0,4,19
34,other,600.0,3,75.0,3,116
35,Gubbalala,600.0,3,75.0,3,38
36,other,817.0,2,120.0,4,116
37,Kadugodi,1100.0,5,135.0,5,57
38,Yelahanka New Town,550.0,2,26.0,2,114
39,other,712.0,2,67.5,4,116
40,2nd Stage Nagarbhavi,1200.0,4,285.0,5,0
41,Hosa Road,675.0,3,72.5,3,45
42,Banashankari,600.0,3,100.0,3,14
43,other,1350.0,4,130.0,5,116
